iter,v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5,time
126,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
127,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
128,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
129,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
130,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
131,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
132,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
133,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
134,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
135,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
136,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
137,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
138,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
139,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
140,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
141,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
142,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
143,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
144,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
145,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
146,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
147,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
148,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
149,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
150,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
151,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
152,3.0,3.0,30.0,3.3,10.0,25991.75336565163,3929.6829098866833,5845.167008960135,5845.167318018389,5185.870332801841,5185.865795984585,0.00
