v1,v2,v3,v4,v5,fitness,p1,p2,p3,p4,p5
11.0,9.4,9.7,10.1,24.4,-337853.6268290375,0.0,0.0,0.0,0.0,0.0
20.2,22.8,13.1,25.0,18.0,-9257560.798403371,0.0,0.0,0.0,0.0,0.0
20.0,4.8,30.0,19.2,10.8,16319.790319268115,1801.7309749205388,2998.0561597448973,2998.055994638045,4260.968832313503,4260.978357651131
23.8,9.0,12.5,10.6,12.4,-16793756.09162372,0.0,0.0,0.0,0.0,0.0
14.3,12.7,0.0,25.0,30.0,-26799999.999999996,0.0,0.0,0.0,0.0,0.0
3.0,10.2,11.0,7.2,25.5,10160.707832509363,4252.820511183115,2055.349827120283,2055.3503320333216,898.5912369848347,898.5959251878062
11.2,4.0,30.0,15.3,0.0,-21799999.999999996,0.0,0.0,0.0,0.0,0.0
25.0,3.0,7.4,14.1,3.3,-3400000.0000000005,0.0,0.0,0.0,0.0,0.0
5.9,23.1,17.9,25.0,14.2,-11681346.262765834,0.0,0.0,0.0,0.0,0.0
13.5,4.3,6.8,5.2,14.4,-4693792.109082013,0.0,0.0,0.0,0.0,0.0
13.6,16.1,21.3,9.7,20.4,-7074057.094354775,0.0,0.0,0.0,0.0,0.0
10.6,3.0,8.6,18.5,5.6,-633017.7879980496,0.0,0.0,0.0,0.0,0.0
22.6,16.3,30.0,14.1,0.0,-12999999.999999996,0.0,0.0,0.0,0.0,0.0
3.0,16.1,18.2,12.9,2.2,-5600000.0,0.0,0.0,0.0,0.0,0.0
19.8,25.0,28.3,19.0,27.9,-7973362.897301673,0.0,0.0,0.0,0.0,0.0
3.5,24.0,28.1,21.5,30.0,-13719872.61275697,0.0,0.0,0.0,0.0,0.0
14.4,20.5,26.6,11.1,6.2,-5952936.249877697,0.0,0.0,0.0,0.0,0.0
22.4,21.2,12.0,18.3,8.6,-12007780.58827603,0.0,0.0,0.0,0.0,0.0
12.5,25.0,19.4,23.6,0.7,-8600000.0,0.0,0.0,0.0,0.0,0.0
5.0,24.6,14.7,25.0,4.2,-1599999.9999999995,0.0,0.0,0.0,0.0,0.0
25.0,3.0,10.6,12.9,10.1,-174763.55752597784,0.0,0.0,0.0,0.0,0.0
4.8,5.0,5.8,3.0,21.6,-8393105.497162472,0.0,0.0,0.0,0.0,0.0
6.8,18.8,10.2,21.6,8.0,-12878202.474094056,0.0,0.0,0.0,0.0,0.0
12.4,19.1,14.2,9.3,12.1,13623.563150139542,1148.158472091412,558.900845111509,558.8993933782714,5678.805204677392,5678.799234880958
