v1,v2,fitness,p1
1.3,4.0,919.9113368051237,919.9113368051237
2.2,2.2,1570.566509422448,1570.566509422448
2.5,0.8,1800.3875836916493,1800.3875836916493
1.7,4.5,892.0098409308914,892.0098409308914
1.8,2.2,1123.43440086251,1123.43440086251
1.2,0.8,369.28574985613204,369.28574985613204
1.2,4.4,273.0387459162415,273.0387459162415
2.0,3.0,1240.6361830299409,1240.6361830299409
2.5,3.5,1278.4395739193055,1278.4395739193055
2.5,3.2,1422.9159708356517,1422.9159708356517
1.8,2.5,1108.6103823060553,1108.6103823060553
0.5,4.0,27.046519952044974,27.046519952044974
2.3,3.8,1133.1460369694314,1133.1460369694314
2.2,4.4,694.027397579754,694.027397579754
0.6,1.2,76.53813366537597,76.53813366537597
1.6,2.2,848.2830269508964,848.2830269508964
1.2,3.4,825.1618478883905,825.1618478883905
1.9,4.4,844.9295430205499,844.9295430205499
2.4,1.8,1787.960767188628,1787.960767188628
2.3,1.8,1675.363238717195,1675.363238717195
0.7,4.6,293.910125401846,293.910125401846
0.5,2.6,49.627382698771555,49.627382698771555
0.8,1.3,160.64971650357612,160.64971650357612
2.3,2.8,1549.4417241349386,1549.4417241349386
2.0,0.5,1147.5106770697907,1147.5106770697907
1.0,5.0,107.27965938815728,107.27965938815728
2.2,1.2,1452.6629342051947,1452.6629342051947
0.5,0.5,25.433669250958403,25.433669250958403
1.3,3.2,665.5017925836739,665.5017925836739
0.9,2.3,293.08058423180927,293.08058423180927
0.7,3.8,106.94385395441057,106.94385395441057
2.1,4.7,597.6648467229262,597.6648467229262
0.5,3.0,46.00226775384772,46.00226775384772
1.6,4.3,483.0588212662461,483.0588212662461
1.6,2.0,848.74482993704,848.74482993704
2.4,4.4,754.3336258054288,754.3336258054288
2.0,4.2,1004.1827232054927,1004.1827232054927
2.5,3.6,1276.4299371559537,1276.4299371559537
1.9,3.8,866.9248295335165,866.9248295335165
2.5,4.0,977.9289145079802,977.9289145079802
1.3,3.4,702.2469578066182,702.2469578066182
1.0,3.1,426.53399012578853,426.53399012578853
0.8,4.0,116.02462866080437,116.02462866080437
0.8,0.5,124.43831103477899,124.43831103477899
1.4,3.8,690.429267100112,690.429267100112
1.6,3.1,999.9656255220027,999.9656255220027
2.5,4.2,853.7921948290353,853.7921948290353
1.5,2.8,789.937626443685,789.937626443685
2.0,2.6,1419.257159585441,1419.257159585441
1.6,4.1,652.8591547415367,652.8591547415367
1.8,3.0,1103.1847364419557,1103.1847364419557
1.8,2.4,1124.820261316028,1124.820261316028
2.5,2.8,1755.0770029735202,1755.0770029735202
1.1,4.2,797.0811964410932,797.0811964410932
2.0,0.9,1168.6072332748777,1168.6072332748777
2.3,3.5,1157.280878436559,1157.280878436559
1.6,3.0,1068.801920549501,1068.801920549501
1.4,1.4,581.2507124622086,581.2507124622086
2.0,5.0,407.03788846458616,407.03788846458616
2.1,4.1,1049.852400922751,1049.852400922751
1.6,3.4,832.2490907064717,832.2490907064717
1.1,3.2,467.8796003210869,467.8796003210869
2.4,4.8,732.0560613218938,732.0560613218938
0.8,1.0,141.7886688209998,141.7886688209998
2.2,0.5,1404.9638359528328,1404.9638359528328
1.3,1.6,505.3824989522072,505.3824989522072
1.1,2.1,405.96190455969935,405.96190455969935
1.8,0.5,911.8328872679378,911.8328872679378
2.1,2.7,1454.6451578529498,1454.6451578529498
2.3,1.3,1599.5188948430418,1599.5188948430418
1.6,0.8,712.4571694787907,712.4571694787907
2.5,2.9,1703.1007802367205,1703.1007802367205
1.3,3.1,579.5285246807767,579.5285246807767
1.4,1.0,546.9400252976804,546.9400252976804
2.2,0.8,1418.966351234778,1418.966351234778
2.1,5.0,505.1413517268186,505.1413517268186
1.2,1.5,415.1927001950456,415.1927001950456
1.9,0.9,1043.7029898771011,1043.7029898771011
1.0,2.6,398.02254823200485,398.02254823200485
1.8,1.5,1004.8133467782179,1004.8133467782179
2.2,2.9,1438.5511344940762,1438.5511344940762
2.2,2.5,1603.2050575660144,1603.2050575660144
1.4,2.0,620.3426457338968,620.3426457338968
2.5,1.4,1873.5155961500352,1873.5155961500352
1.7,1.0,838.6419895886698,838.6419895886698
2.4,2.1,1834.3741989054854,1834.3741989054854
2.4,4.2,832.8868760873154,832.8868760873154
1.9,0.7,1038.4947388414498,1038.4947388414498
1.0,2.3,304.68467579714394,304.68467579714394
1.9,3.9,821.541125301146,821.541125301146
1.4,0.5,515.1265663041181,515.1265663041181
1.9,5.0,403.1753006019426,403.1753006019426
2.5,1.8,1929.7829065529836,1929.7829065529836
2.1,0.8,1284.4961227884094,1284.4961227884094
2.5,2.7,1777.968021922677,1777.968021922677
2.0,1.6,1254.7106116100758,1254.7106116100758
1.8,3.8,796.7653798653772,796.7653798653772
2.5,0.5,1779.554093313269,1779.554093313269
0.6,2.1,103.410718066978,103.410718066978
2.3,2.2,1720.5930712517818,1720.5930712517818
2.5,3.1,1519.0397523022164,1519.0397523022164
1.0,3.0,503.379099091437,503.379099091437
2.2,3.0,1470.9519794063206,1470.9519794063206
0.6,1.8,89.32636289717009,89.32636289717009
