v1,v2,v3,v4,v5,v6,v7,fitness,p1,p2,p3,p4,p5
1.6,5.0,10.5,15.6,9.6,7.0,12.2,3357.1431369095117,36.99772629395531,528.7345881804308,528.7372677838592,1131.3341328565273,1131.3394217947387
0.9,2.2,20.3,3.0,15.1,12.7,16.9,1063.8925702224694,329.9523677009993,197.24418795905711,197.2440106479948,169.72594619024443,169.72605772417364
0.5,1.8,5.0,9.3,21.8,10.1,0.0,-2000000.0,0.0,0.0,0.0,0.0,0.0
1.4,2.8,25.0,23.6,30.0,21.4,27.3,-4234370.093092796,0.0,0.0,0.0,0.0,0.0
1.8,1.2,23.6,9.4,0.6,12.8,22.5,-6000000.0,0.0,0.0,0.0,0.0,0.0
2.1,1.5,17.2,18.8,16.8,10.5,19.2,7688.6659715054975,1317.142416067081,1866.1255887946788,1866.125983334927,1319.6360429701856,1319.635940338625
1.4,2.7,25.0,8.6,0.0,18.8,28.6,-5600000.0,0.0,0.0,0.0,0.0,0.0
1.4,1.6,9.3,17.6,30.0,23.2,10.8,2724.0940558470525,608.2332003571548,626.8373987563327,626.8369950088095,431.0929797044304,431.09348202032527
2.2,2.8,20.4,10.3,15.2,14.9,17.8,-7032124.149101675,0.0,0.0,0.0,0.0,0.0
1.8,3.3,3.0,3.0,17.6,24.5,4.5,7555.5837879914725,2944.9843920267217,1856.1651081003474,1856.1648951404695,449.1345823992921,449.13481032464153
1.8,5.0,3.8,19.4,27.6,25.0,1.1,-5000000.0,0.0,0.0,0.0,0.0,0.0
2.2,0.6,14.4,3.0,0.0,25.0,8.2,-8800000.0,0.0,0.0,0.0,0.0,0.0
2.3,4.5,3.0,13.3,16.4,13.0,19.3,-12569048.105154695,0.0,0.0,0.0,0.0,0.0
1.9,1.0,15.3,16.5,0.0,18.9,16.8,-20400000.0,0.0,0.0,0.0,0.0,0.0
1.6,4.3,19.0,20.1,18.9,11.0,26.4,6139.3638205635,1767.1910187510894,173.26777299258222,173.26782604772004,2012.8204895806193,2012.8167131914886
2.0,3.7,25.0,11.0,0.0,17.6,28.2,-8000000.0,0.0,0.0,0.0,0.0,0.0
2.5,1.6,14.2,8.0,13.8,19.4,19.2,8370.608449836478,2280.8456015119887,622.0404083813133,622.0403030954521,2422.8413607133157,2422.840776134408
0.5,5.0,14.9,17.8,16.0,8.8,2.4,140.7632215611271,37.812752982976484,0.4103839892604531,0.41038436844371345,51.06490582458413,51.06479439586233
2.0,3.4,10.8,24.2,9.0,11.2,14.7,4438.682295960968,1176.4611908889037,766.2215252301328,766.2182691859833,864.8910572283119,864.8902534276364
1.7,0.5,25.0,4.7,30.0,20.6,30.0,3873.305534123054,930.9510845493425,422.2710143375198,422.27078403466675,1048.9062274901198,1048.9064237114053
2.3,0.8,18.7,4.0,28.5,23.8,30.0,8824.721942927199,1751.1536670373343,1829.9849051159417,1829.985173437319,1706.7989409009504,1706.7992564356532
2.0,0.5,24.8,3.0,18.9,25.0,27.7,7700.830788180814,1278.8528773689902,1653.6390200739556,1653.6415906318225,1557.348679355908,1557.3486207501378
2.5,0.5,11.7,16.4,15.2,18.8,22.8,-4060112.9238629756,0.0,0.0,0.0,0.0,0.0
1.2,1.8,24.0,3.0,14.4,4.4,0.0,-4800000.0,0.0,0.0,0.0,0.0,0.0
1.8,2.8,25.0,8.0,1.5,8.8,30.0,-4200000.0,0.0,0.0,0.0,0.0,0.0
2.0,2.6,10.5,18.4,9.2,25.0,10.0,-2703383.889124268,0.0,0.0,0.0,0.0,0.0
1.4,0.5,6.9,19.3,30.0,17.8,15.3,2824.059267614228,524.9167444645708,594.369906079146,594.3695564513201,555.2014153250426,555.2016452941484
